pipeline,score
"GaussianNB(BernoulliNB(input_matrix, BernoulliNB__alpha=1.0, BernoulliNB__fit_prior=False))",0.6155797101449274
"BernoulliNB(GaussianNB(input_matrix), BernoulliNB__alpha=10.0, BernoulliNB__fit_prior=False)",0.6239130434782608
GaussianNB(MinMaxScaler(input_matrix)),0.6329710144927536
"BernoulliNB(RobustScaler(BernoulliNB(input_matrix, BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=False)), BernoulliNB__alpha=0.001, BernoulliNB__fit_prior=True)",0.6405797101449275
"DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=10, DecisionTreeClassifier__min_samples_split=14)",0.5452898550724636
"BernoulliNB(BernoulliNB(input_matrix, BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=True), BernoulliNB__alpha=0.001, BernoulliNB__fit_prior=False)",0.5985507246376811
"GaussianNB(RobustScaler(BernoulliNB(input_matrix, BernoulliNB__alpha=0.01, BernoulliNB__fit_prior=False)))",0.5985507246376811
"DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=7)",0.5373188405797102
"LinearSVC(input_matrix, LinearSVC__C=5.0, LinearSVC__dual=True, LinearSVC__loss=hinge, LinearSVC__penalty=l2, LinearSVC__tol=0.01)",0.37572463768115943
"BernoulliNB(input_matrix, BernoulliNB__alpha=10.0, BernoulliNB__fit_prior=True)",0.6144927536231883
"RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=entropy, RandomForestClassifier__max_features=0.05, RandomForestClassifier__min_samples_leaf=6, RandomForestClassifier__min_samples_split=15, RandomForestClassifier__n_estimators=100)",0.6579710144927536
"GaussianNB(BernoulliNB(BernoulliNB(input_matrix, BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=False), BernoulliNB__alpha=0.1, BernoulliNB__fit_prior=False))",0.5981884057971014
"BernoulliNB(SGDClassifier(input_matrix, SGDClassifier__alpha=0.01, SGDClassifier__eta0=0.01, SGDClassifier__fit_intercept=False, SGDClassifier__l1_ratio=0.5, SGDClassifier__learning_rate=invscaling, SGDClassifier__loss=perceptron, SGDClassifier__penalty=elasticnet, SGDClassifier__power_t=0.1), BernoulliNB__alpha=1.0, BernoulliNB__fit_prior=True)",0.5974637681159419
"ExtraTreesClassifier(input_matrix, ExtraTreesClassifier__bootstrap=True, ExtraTreesClassifier__criterion=entropy, ExtraTreesClassifier__max_features=0.8, ExtraTreesClassifier__min_samples_leaf=2, ExtraTreesClassifier__min_samples_split=5, ExtraTreesClassifier__n_estimators=100)",0.6231884057971014
"ExtraTreesClassifier(input_matrix, ExtraTreesClassifier__bootstrap=False, ExtraTreesClassifier__criterion=entropy, ExtraTreesClassifier__max_features=0.5, ExtraTreesClassifier__min_samples_leaf=3, ExtraTreesClassifier__min_samples_split=4, ExtraTreesClassifier__n_estimators=100)",0.6655797101449276
"RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.45, RandomForestClassifier__min_samples_leaf=6, RandomForestClassifier__min_samples_split=9, RandomForestClassifier__n_estimators=100)",0.6492753623188406
"RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=True, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.9000000000000001, RandomForestClassifier__min_samples_leaf=6, RandomForestClassifier__min_samples_split=4, RandomForestClassifier__n_estimators=100)",0.6318840579710144
"RandomForestClassifier(input_matrix, RandomForestClassifier__bootstrap=False, RandomForestClassifier__criterion=gini, RandomForestClassifier__max_features=0.05, RandomForestClassifier__min_samples_leaf=13, RandomForestClassifier__min_samples_split=15, RandomForestClassifier__n_estimators=100)",0.6572463768115941
